Year,Event
-633,11 families(633BC)
-550,6 families remained(550BC)
-475,Zhi Yao serve as prime minister of Jin(475BC)
-458,4 families remained(458BC)
-457,Zhao Wuxiu succeed(457BC)
-453,Zhi Yao was eliminated(453BC)
-403,Warring States Period(403BC)

