Year,Event
-1046,Zhou Dynasty(1046BC)
-633,Reform-11 families(633BC)
-632,Defeated the State of Chu(632BC)
-550,6 families remained(550BC)
-403,Warring States Period(403BC)
-221,Qin Dynasty(221BC)
2024,Now
